id;contenu;date_publication;auteur_id;crise_id
1;../fake-data/blob/hipster.txt;2026-04-08T12:11:16;1;1
2;../fake-data/blob/hipster.txt;2026-04-08T23:21:49;2;2
3;../fake-data/blob/hipster.txt;2026-04-09T06:01:33;3;3
4;../fake-data/blob/hipster.txt;2026-04-08T17:31:07;4;4
5;../fake-data/blob/hipster.txt;2026-04-08T22:48:25;5;5
6;../fake-data/blob/hipster.txt;2026-04-08T16:44:56;6;6
7;../fake-data/blob/hipster.txt;2026-04-09T04:40:31;7;7
8;../fake-data/blob/hipster.txt;2026-04-08T22:27:33;8;8
9;../fake-data/blob/hipster.txt;2026-04-09T08:03:39;9;9
10;../fake-data/blob/hipster.txt;2026-04-08T16:37:09;10;10
11;../fake-data/blob/hipster.txt;2026-04-08T17:20:28;11;11
12;../fake-data/blob/hipster.txt;2026-04-08T16:14:10;12;12
13;../fake-data/blob/hipster.txt;2026-04-08T21:30:17;13;13
14;../fake-data/blob/hipster.txt;2026-04-09T09:44:24;14;14
15;../fake-data/blob/hipster.txt;2026-04-08T13:13:12;15;15
16;../fake-data/blob/hipster.txt;2026-04-09T10:15:18;16;16
17;../fake-data/blob/hipster.txt;2026-04-08T15:57:36;17;17
18;../fake-data/blob/hipster.txt;2026-04-08T20:49:00;18;18
19;../fake-data/blob/hipster.txt;2026-04-08T23:20:02;19;19
20;../fake-data/blob/hipster.txt;2026-04-08T20:20:45;20;20
21;../fake-data/blob/hipster.txt;2026-04-08T14:04:45;21;21
22;../fake-data/blob/hipster.txt;2026-04-08T15:24:45;22;22
23;../fake-data/blob/hipster.txt;2026-04-08T20:02:28;23;23
24;../fake-data/blob/hipster.txt;2026-04-08T13:42:07;24;24
25;../fake-data/blob/hipster.txt;2026-04-08T16:29:03;25;25
26;../fake-data/blob/hipster.txt;2026-04-09T02:02:38;26;26
27;../fake-data/blob/hipster.txt;2026-04-09T08:58:19;27;27
28;../fake-data/blob/hipster.txt;2026-04-09T08:49:30;28;28
29;../fake-data/blob/hipster.txt;2026-04-08T15:46:03;29;29
30;../fake-data/blob/hipster.txt;2026-04-09T07:07:44;30;30
